"","Symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"3764","DCAF8",1664.31970630443,-0.0391827290096354,0.0682016226314583,-0.574513149362551,0.565620604985966,0.608183788586723
"3765","DCAKD",1138.47201378612,0.212213664163836,0.0886430640221624,2.39402446773251,0.016664637062107,0.0231907539555626
"3766","DCBLD1",858.111536243752,0.573061384652872,0.0822566939352477,6.96674467738741,3.24358548258985e-12,1.08638336039112e-11
"3767","DCBLD2",1007.81555934149,0.537292826639916,0.198281751427537,2.70974420374873,0.00673351160641702,0.00986159143048434
"3768","DCC",10.5317411531243,-0.643739774717596,0.257244830870455,-2.50244007834612,0.0123340502613491,0.0174826864852701
"3769","DCDC1",2.77022529030932,1.55139691628098,0.372137313118363,4.16888299450783,3.06096065723026e-05,5.82747263523207e-05
"3770","DCDC2",146.203755140368,1.93349199653169,0.336295397701821,5.74938583681135,8.95682073563474e-09,2.32537328175571e-08
"3771","DCDC2B",4.89211426736331,0.610442211842448,0.204056467787421,2.99153571784055,0.00277578064215755,0.00426797348124687
"3772","DCHS1",926.576590034336,-0.421996743739235,0.160408890523074,-2.63075657691512,0.00851950335922293,0.0123271878924911
"3773","DCHS2",35.2383434725228,-1.42646581926297,0.383977682932694,-3.71497064196048,0.000203227287972733,0.000353905389451216
"3774","DCK",1046.35204702092,0.0325988313353485,0.0986666499279787,0.330393616882137,0.741102563993112,0.772417091503764
"3775","DCLK1",84.8945197485319,-2.94187581743777,0.245423112775431,-11.9869550351994,4.15914610028511e-33,5.3159967601308e-32
"3776","DCLK2",108.119977564587,-1.29818951273841,0.16607852468465,-7.81672112757151,5.42170346441023e-15,2.23306246867076e-14
"3777","DCLK3",22.3737910265795,1.17467487906776,0.161844092017207,7.25806462520039,3.92667952603615e-13,1.41492269898235e-12
"3778","DCLRE1A",618.29113107573,0.679943592961366,0.0845153018344062,8.04521285735456,8.60956453320634e-16,3.73756908235763e-15
"3779","DCLRE1B",469.230647807395,0.57717233659578,0.0726620249833327,7.94324596277316,1.96957838978809e-15,8.35568260860327e-15
"3780","DCLRE1C",320.634881021962,0.344473345462315,0.0878465974701984,3.92130549597183,8.8070522187559e-05,0.000160017581877149
"3781","DCN",7347.53587105054,-1.75427219774063,0.209387718741502,-8.3781045434969,5.3786860442485e-17,2.53763265636993e-16
"3782","DCP1A",1250.51731976318,0.185725513959573,0.0611173468546045,3.03883469289669,0.00237495132906854,0.00367834439707164
"3783","DCP1B",576.158650904923,0.0299244921462664,0.0879000542251701,0.340437698361482,0.733526933066266,0.765574445371789
"3784","DCP2",883.773588033984,-0.0493664499644605,0.083607210264174,-0.59045684945685,0.554884406855711,0.597738610649712
"3785","DCPS",796.95980124028,0.77354769369877,0.0922926845679608,8.38146270552092,5.2273966131043e-17,2.46969008230813e-16
"3786","DCST1",16.4244382024976,0.526277059017375,0.16082063927527,3.27244725172724,0.00106620765562755,0.00171802660527255
"3787","DCST2",31.0940305483901,0.202984497066566,0.181240165081641,1.1199752382433,0.262724314164525,0.304189165987065
"3788","DCSTAMP",14.4991313370865,2.97493583949102,0.350115668024899,8.49700859225599,1.94539041308726e-17,9.44355088619721e-17
"3789","DCT",14.309467129166,1.2495309531207,0.445817291427637,2.80278709944008,0.0050663101318609,0.00753967589247107
"3790","DCTD",2952.09174585323,0.696971570710514,0.0676060098137622,10.309313811457,6.39563258857009e-25,5.07135691139492e-24
"3791","DCTN1",4342.29941945181,-0.536471651243591,0.0662904891840388,-8.09273936347359,5.83376081128638e-16,2.56670342724327e-15
"3792","DCTN2",4342.17333452463,-0.441405194816465,0.0601385370115076,-7.33980600046858,2.13903676402105e-13,7.8681853295513e-13
"3793","DCTN3",1513.76382402711,0.143774771224198,0.105686950624804,1.36038338105343,0.173708634746242,0.20745473552535
"3794","DCTN4",2203.97360252296,0.152626752366483,0.0627478517462599,2.43238211538581,0.0149998733920466,0.0210015562656845
"3795","DCTN5",3420.41180603965,0.112683133525785,0.0651873580320517,1.72860408716641,0.0838799776427888,0.105290726820555
"3796","DCTN6",665.769672220378,-0.0320938386122114,0.102532985205391,-0.313009891869647,0.754273146888712,0.78452363061136
"3797","DCTPP1",3176.18348451285,0.276914141428151,0.108631563529404,2.54911309780788,0.0107997270361764,0.0154148085719589
"3798","DCUN1D1",988.970827426294,-0.184844458867995,0.0869516640386651,-2.12583003340568,0.0335174143267709,0.0447488085954314
"3799","DCUN1D2",514.50422368589,0.776384377750573,0.10728000420998,7.23699056005769,4.58750064881638e-13,1.64118537238082e-12
"3800","DCUN1D3",480.712293927874,0.392224151670535,0.0863592929631425,4.54177122360107,5.57835586159635e-06,1.14256542603955e-05
"3801","DCUN1D4",820.982482555517,-0.174159433829623,0.0748164050743366,-2.32782414039516,0.0199214436775048,0.0274415338434305
"3802","DCUN1D5",963.615796250228,1.49435587100774,0.0927306554415376,16.1150146506821,2.00116540737612e-58,1.19093917454408e-56
"3803","DCX",3.49402093265426,-1.16439509886573,0.346290628893229,-3.36247937920592,0.000772458951727761,0.00126622946557017
"3804","DCXR",2277.46662020649,0.383226529488086,0.125666728011102,3.04954649136905,0.00229187157285581,0.00355486362571626
"3805","DDA1",1575.48776832045,-0.168785103957086,0.0748492916744004,-2.25499934844157,0.0241333696795217,0.0328274988478922
"3806","DDAH1",4877.04890887445,-0.0401523391277415,0.0852687994817355,-0.470891338587945,0.637718333587543,0.676563825538724
"3807","DDAH2",3021.74635394246,-0.304321142867772,0.132289198290694,-2.30042321519745,0.0214242548440193,0.0293732751119079
"3808","DDB1",8879.67840563222,0.176091209652175,0.0485975407005197,3.62345927620762,0.000290688989623054,0.000498521329928879
"3809","DDB2",858.640319722065,0.383047684764915,0.110870371706293,3.4549147700131,0.000550466804459426,0.000917408614565818
"3810","DDC",2464.39935660946,-0.312962668740528,0.185753259596881,-1.68483002354691,0.0920213705416673,0.114754390541667
"3811","DDHD1",485.296275209695,0.208835536921742,0.0853471239808194,2.4468960075172,0.0144092407231739,0.0202230146384569
"3812","DDHD2",962.905979931743,-0.180848161538357,0.0979584899606821,-1.84617138964621,0.0648673237451991,0.0829099229873641
"3813","DDI2",1576.53430883536,0.242496647452916,0.0858002271757137,2.82629376908638,0.00470900556579996,0.00703447625519932
"3814","DDIAS",327.323039879038,1.93895294159104,0.123107163907753,15.7501227389492,6.85481422579602e-56,3.56639583078915e-54
"3815","DDIT3",653.130905354543,0.848249098914571,0.127485961007448,6.65366674268561,2.85879594203033e-11,8.97760377203785e-11
"3816","DDIT4",3082.68588052475,1.51050932747054,0.148208981636289,10.1917529612166,2.15836709340248e-24,1.65348077105689e-23
"3817","DDIT4L",37.9847593154922,-0.6875817063395,0.335200812862063,-2.0512530995038,0.040242305263358,0.053195365877314
